"title","tag","serving","ingredients","rating","time","instructions","link"
"Honey Baked Chicken Drumsticks","Poultry,Carrot,Chicken Drumstick,Ginger,Honey,Dinner,Main Course","Yield: 4 servings","2
tablespoons olive oil
2
tablespoons apple cider vinegar
1
tablespoon soy sauce
2
teaspoons ground ginger
1½
teaspoons onion powder
6
tablespoons honey, preferably clover

Coarse kosher salt and black pepper
8
skin-on chicken drumsticks (about 2½ pounds)
1
pound root vegetables (any mix of carrots, parsnips and potatoes), cut into 1½-inch pieces
4
tablespoons unsalted butter, cut into pieces
2
large scallions, thinly sliced crosswise","0 user ratings","1 hour","Step 1
In a large bowl, stir together the olive oil, vinegar, soy sauce, ground ginger, onion powder, 4 tablespoons honey, 2 teaspoons salt and 1 teaspoon pepper. Add the chicken and turn to coat. If you have the time, cover and refrigerate for 1 to 24 hours.
Step 2
Heat the oven to 425 degrees.
Step 3
Pour the chicken and all of its marinade into a 13-by-9-inch baking pan (preferably metal). Add the root vegetables and toss to coat in the marinade, then spread the chicken and vegetables in a snug but single layer. Roast for 30 minutes.
Step 4
Remove the pan from the oven and turn up the heat to 450 degrees. Turn the chicken and vegetables in the pan juices, then drizzle all over with the remaining 2 tablespoons honey and top with the butter. Continue roasting until the pan sauce is sticky and the chicken and vegetables are browned, 10 to 15 minutes.
Step 5
To serve, tilt the pan to collect the sauce in one corner, then spoon it over the chicken and vegetables to make them glossy. Scatter over the scallions and serve directly from the pan.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024081-honey-baked-chicken-drumsticks"
"Pineapple Ham","Meat,Dark Brown Sugar,Ham,Pineapple,Pineapple Juice,Dinner,Main Course,Easter","Yield: 12 servings","1
bone-in, fully cooked unsliced half ham (7½ to 10 pounds)
2
cups canned pineapple juice
1
pineapple (see Tip)
6
packed tablespoons dark brown sugar
6
tablespoons lemon juice (from 2 lemons)
1½
tablespoons Dijon mustard

Freshly ground black pepper or ground cloves","41 user ratings","3½ hours","Step 1
Position a rack near the bottom of the oven and heat the oven to 325 degrees. Using a sharp paring knife, make parallel cuts across the surface of the ham, about a ½-inch deep and 1 inch apart, then repeat in the opposite direction to create a diamond pattern.
Step 2
Place the ham in a large roasting pan, cut side down, and pour over the pineapple juice. Cover the ham with parchment, then cover the pan tightly with foil. Bake until the ham is heated through, 2 to 2½ hours. The internal temperature should reach 135 degrees, which takes about 15 minutes per pound.
Step 3
While the ham cooks, trim the top and bottom off the pineapple, then cut off the peel. Halve the pineapple from top to bottom, then slice into ½-inch-thick half moons. Using a small circular cookie cutter or small knife, cut out and discard the core.
Step 4
Carefully remove the ham from the oven and raise the temperature to 425 degrees.
Step 5
Uncover the ham and ladle out 2 cups of the liquid into a large skillet. Add the brown sugar, lemon juice, mustard and a few generous grinds of black pepper or a pinch of cloves to the skillet and bring to a boil over high heat to make the glaze. Cook, whisking occasionally, until the glaze is thick enough to coat the back of a spoon, 15 to 20 minutes.
Step 6
Scatter the pineapple around the pan. Using a spoon or a brush, apply half of the glaze all over the surface of the ham and some over the pineapple slices. Bake, uncovered, until the glaze is bronzed, 8 to 12 minutes. Transfer the ham to a cutting board to rest for at least 15 minutes before slicing and serving with the pineapple and extra glaze.
In some markets, you can buy fresh pineapple already peeled, cored and sliced in the refrigerated produce section. You can use that as a shortcut here or prepare a pineapple as detailed in step 3.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024064-pineapple-ham"
"Pineapple Ham Pizza","Pizza And Calzones,Ham,Pineapple,Pizza Dough,Tomato Sauce,Dinner,Lunch,Quick,Main Course","Yield: One (12-inch) pizza","
Olive oil
1
(8- to 10-ounce) ball store-bought pizza dough, room temperature
½
cup Marcella Hazan’s tomato sauce or other pizza sauce
1
cup shredded low-moisture mozzarella cheese
½
cup cubed ham (about ½ inch)
½
cup fresh pineapple chunks (about ½ inch)

Red-pepper flakes, for sprinkling","71 user ratings","35 minutes","Step 1
Position a rack in the oven nearest to the heat source, on the highest or lowest spot depending on your model. Heat the oven to 450 degrees. Grease the center of a large sheet pan with 1 tablespoon olive oil.
Step 2
Flatten the dough in between your hands, then rotate the round in your hands like a wheel and pull it outwards to stretch into a 12-inch circle. Place the dough on the sheet pan. Evenly spread the tomato sauce over the dough, leaving a ¼-inch border. Sprinkle with mozzarella, then top with ham and pineapple. Lightly drizzle with olive oil.
Step 3
Bake until the crust is browned and the toppings are slightly caramelized, about 12 minutes. Sprinkle with red-pepper flakes. Cool at least 10 minutes before cutting.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024065-pineapple-ham-pizza"
"Blackened Cauliflower","Vegetables,Cauliflower,Smoked Paprika,Dinner,Easy,Side Dish,Vegan","Yield: 4 servings","1
cauliflower head (about 2 pounds), core and leaves removed, head cut into 2-inch pieces
2
tablespoons olive oil
1
teaspoon smoked paprika
1
teaspoon kosher salt
1
teaspoon onion powder
1
teaspoon garlic powder
½
teaspoon red-pepper flakes
½
teaspoon dried thyme
½
teaspoon black pepper
½
teaspoon sumac (optional)","0 user ratings","55 minutes","Step 1
Heat oven to 450 degrees. Place a rack in the center of the oven.
Step 2
Add cauliflower pieces to a large bowl with oil and all seasonings; mix together. Add the cauliflower florets to a 13-by-18-inch rimmed sheet pan in a single layer, spacing them out as much as possible.
Step 3
Bake on the center rack until deep golden brown and cooked through, 35 to 40 minutes, stirring halfway through, and serve.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024084-blackened-cauliflower"
"Siu Yuk (Crispy Pork Belly)","Chinese,Meat,Five Spice Powder,Fresh Ginger,Make Ahead,Pork Belly,Project,Dinner,Main Course","Yield: 4 servings","1
(2-pound) slab skin-on pork belly
1
tablespoon Shaoxing wine
2
scallions, tied into a knot
1
(2-inch) piece fresh ginger, unpeeled and sliced
1
dried star anise (optional)
1
teaspoon whole black peppercorns (optional)
½
tablespoon plus 2 teaspoons fine sea salt
½
teaspoon five-spice powder
¼
teaspoon ground white pepper
¼
teaspoon ground ginger (optional)
½
teaspoon white vinegar

English mustard, to taste","6 user ratings","2 hours, plus 24 hours’ resting and drying","Step 1
In a large pot, combine the pork belly with enough water to cover it by 1 inch. Add the Shaoxing wine, scallions, ginger, star anise (if using) and whole black peppercorns (if using); bring the water to a rolling boil over high heat. Cover with a lid, reduce the heat to low and simmer until the meat is soft and tender, about 1 hour. Poke the meat (not the skin) with a chopstick; the juices should run clear. Take it out of the pot and let it cool down.
Step 2
In a small bowl, combine ½ tablespoon of the fine sea salt with the five-spice powder, white pepper and ground ginger (if using). When the pork belly is cool enough to handle, flip the pork belly over so that the skin faces down. Rub the seasoning all over the flesh side, leaving the skin unseasoned.
Step 3
Make a tray out of aluminum foil, just large enough to hold the pork belly, and place the pork belly inside, skin side up, making sure all four sides of the meat are completely covered with the foil. Only the skin of the pork belly should be exposed. WIth a meat tenderizer tool or a sharp fork, poke multiple shallow holes all over the skin of the pork, making sure not to puncture too deeply into the meat below. Brush the skin with the white vinegar. Sprinkle the remaining 2 teaspoons of the salt on top.
Step 4
Let the pork rest in the refrigerator, uncovered, for at least 18 hours and up to 24 hours. This will dry out the skin even further.
Step 5
Take the pork belly out and let it come to room temperature, about 1 hour. The skin needs to be completely dry and leathery. If it’s not, blot it gently with a paper towel and blow it dry with a hair dryer.
Step 6
Heat the broiler to its highest setting. If you don’t have a broiler, heat the oven to 450 degrees, preferably with the oven fan on.
Step 7
Place the pork belly still nestled in its aluminum foil tray (this ensures that the meat doesn’t overcook) on a wire rack set on top of a baking sheet to catch any drippings. If you’re using a broiler, cook the pork belly on the middle rack. If you’re not using a broiler, cook the belly on the second-to-top rack. Roast until the skin begins to crisp up and bubble, 15 to 30 minutes if using a broiler and 40 to 50 minutes if just using the oven. Keep an eye on the skin to make sure it does not burn. If parts of the skin begin to get too dark, rotate the pork in the oven so that it cooks more evenly.
Step 8
Take the pork belly out of the oven and remove it from its aluminum foil tray. Let it cool down completely before cutting into it, about 1 hour. Flip the pork belly over, skin side down, and slice into 1-inch pieces. Serve immediately, with English mustard as a dipping sauce.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024041-siu-yuk-crispy-pork-belly"
"Sweet and Sour Fish","Seafood,Fresh Ginger,Mirin,Rice Wine,Scallion,Sea Bass,Tomato Paste,White Vinegar,Dinner,Main Course","Yield: 2 servings","For the Sauce
6
tablespoons white vinegar
3
tablespoons tomato paste
1½
tablespoons mirin
½
tablespoon soy sauce
1
bird’s-eye chile, seeded and finely minced
For the Fish
1
whole (1½-pound) striped sea bass (or white-fleshed fish), cleaned and gutted
½
cup michiu (Taiwanese rice wine) or cooking sake
2
scallions, chopped
1
(2-inch) piece fresh ginger, unpeeled and sliced
¼
cup plus ½ tablespoon thick sweet potato starch (see Tip) or cornstarch
3
cups olive oil
½
medium red bell pepper, halved, seeded and cut into 1-inch squares
½
medium yellow bell pepper, halved, seeded and cut into 1-inch squares
1
small cucumber, cut into 1-inch squares
½
small yellow onion, sliced
½
teaspoon fine sea salt
⅛
teaspoon white pepper

Chopped cilantro, for garnish","0 user ratings","45 minutes","Step 1
Make the sauce: In a medium bowl, combine 1 cup water with the vinegar, tomato paste, mirin, soy sauce and chile. Stir to combine; set aside.
Step 2
Prepare the fish: In a medium baking dish, place the sea bass and pour the rice wine over. Stuff the scallions and ginger into the belly of the fish and let rest for 20 minutes, turning occasionally.
Step 3
Discard the ginger, scallions and rice wine. Holding the knife at an angle, slice three parallel diagonal slashes crosswise on both sides of the fish, deep enough so that they reach the center bone. Next, slice three slashes lengthwise on both sides of the fish, creating a grid pattern.
Step 4
Put ¼ cup of the sweet potato starch on a plate. Press the fish into the starch until both sides are fully coated; rub the starch into the cuts.
Step 5
In a wok set over medium-high heat, heat the oil until it reaches 320 degrees on an instant-read thermometer. Shake off any excess starch on the fish. Slide in the fish and cook, flipping twice, until it’s crispy with a golden-brown crust, 5 to 7 minutes. To check if the fish is done, pierce the thickest part of the fish with a chopstick. If it slides right through, it’s done. Turn off the heat. Transfer the fish to a paper towel-lined plate to drain. Safely discard the oil, reserving 1 tablespoon of the oil in the wok.
Step 6
Heat the wok over high and add the chopped red bell pepper, yellow bell pepper, cucumber, onions, salt and white pepper. Cook, stirring often, until the vegetables are vibrant and fragrant, about 2 minutes. Pour in the sauce and bring to a boil. Reduce the heat to medium and rapidly simmer until the sauce is slightly thickened and the bell peppers are soft, 3 to 4 minutes.
Step 7
In a small bowl, whisk the remaining ½ tablespoon sweet potato starch with ½ tablespoon water to form a slurry. Immediately pour the slurry slowly into the wok, stirring so that it’s incorporated completely. The sauce will thicken and begin to glisten. Turn off the heat.
Step 8
Arrange the fried fish on a large rimmed serving plate and pour the sauce with the vegetables over the fish. Garnish with the cilantro; enjoy while hot.
Thick sweet potato starch is coarse, similar to panko bread crumbs but a bit finer. It will give the fish a particularly crispy, crunchy texture.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024040-sweet-and-sour-fish"
"Egg and Onion","Jewish,Dips And Spreads,Egg,Egg Dish,Polish,Yellow Onion,Breakfast,Lunch,Quick,Weeknight,Appetizer,Main Course,Vegetarian","Yield: 6 servings","1½
large yellow onions, peeled and roughly chopped into ½-inch dice
½
cup vegetable oil or chicken fat
6
large eggs

Sea salt and freshly ground black pepper

Chopped tarragon, chives or parsley, for garnish","190 user ratings","30 minutes","Step 1
Put the onions and oil in a large frying pan and cook over medium heat, stirring occasionally, for about 20 minutes, or until the onions are golden brown and very soft.
Step 2
Meanwhile, put the eggs in a medium saucepan, cover with cold water and bring to a boil. Reduce to a simmer and cook for 8 minutes, until hard-boiled. Drain the eggs and run under cold water until cool enough to handle. Next, tap each egg on the side of the sink until cracked all over, then peel under cold running water. Transfer the peeled eggs to a medium serving bowl. Coarsely mash the eggs with a fork.
Step 3
When the onions are caramelized, transfer them to the eggs with a slotted spoon, leaving most of the oil in the pan. Gently mix with your hands or a fork or spoon; you should still be able to distinguish the egg bits from the onions. Season generously with salt and pepper. If the mixture seems too dry, add a little oil from the pan. The mixture should stick together if pressed with your fingers, but should not be oily. Sprinkle with herbs before serving warm or at room temperature.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024027-egg-and-onion"
"Chicken Rice With Shallot Sauce","Chinese,Poultry,Fresh Ginger,Jalapeno,Lime,Shallot,Whole Chicken,Dinner,Main Course","Yield: 4 servings","1
whole (3- to 4-pound) chicken
1
(2-inch) piece fresh ginger, unpeeled and sliced
3
scallions, tied into a knot
3
small shallots, halved and thinly sliced
1
fresh red jalapeño, sliced
1½
tablespoons ground bean sauce
1
tablespoon granulated sugar
2
limes
1
tablespoon light soy sauce
1
teaspoon sesame oil

Cooked jasmine rice, for serving","11 user ratings","1½ hours","Step 1
In a large lidded pot, combine the chicken, ginger, scallions and enough water to cover the chicken by 1 inch. Bring to a rolling boil over medium-high heat, about 25 minutes. Once the water comes to a boil, turn off the heat, cover the pot with a tight-fitting lid, and let the chicken sit, undisturbed, until an instant-read thermometer inserted into the thickest part of the breast registers at least 165 degrees, about 40 minutes. Reserve 1 teaspoon of the chicken broth and set aside. (Save the remaining chicken broth for another use.)
Step 2
Prepare a large ice bath. Remove the chicken from the pot and immediately transfer to the ice bath to cool completely, about 10 minutes. Remove the chicken and set aside for later.
Step 3
Make the shallot sauce: In a bowl, combine the shallots, jalapeño, ground bean sauce, sugar and 1 tablespoon water. Cut the limes in half and squeeze their juice into the shallot mixture; stir to combine.
Step 4
Carve the chicken, leaving the skin on: Remove the legs and then separate the drumstick and thighs. Cut the breastbone in half and remove the breasts from the carcass; slice crosswise into nice clean slabs. Remove the wings and pull off any remaining meat from the bones. Arrange the meat on a platter. In a small bowl, combine the light soy sauce, sesame oil and the reserved chicken broth; drizzle over the chicken.
Step 5
Enjoy the chicken over rice; serve with the shallot sauce on the side.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024039-chicken-rice-with-shallot-sauce"
"One-Pot Ginger Salmon and Rice","Seafood,Salmon,Dinner,Easy,Weeknight,Main Course,Fall,Spring,Summer","Yield: 3 to 4 servings","1½
cups sushi rice (short-grain white rice, rinsed well

About 5 grams toasted nori seaweed, crushed into small pieces (2 sheets or one .17-ounce snack pack)
1
tablespoon soy sauce, plus more for serving

Salt
1
pound skinless salmon, cut into 1-inch cubes
1
(1-inch) piece of fresh ginger, finely grated (about 1 tablespoon)
1
lemon, zested and cut into wedges
1
bunch asparagus, trimmed and sliced ½-inch thick

Any combination of fresh herbs (such as cilantro, parsley, shiso), sliced scallions, crushed nori and toasted sesame seeds (all optional), for serving","0 user ratings","50 minutes","Step 1
In a medium pot, combine 2½ cups water with the rice, nori, soy sauce and a pinch of salt. Cover and bring mixture to a boil over medium-high. Once mixture comes to a boil, stir, cover, reduce heat to low and simmer until the rice is tender, 18 to 20 minutes.
Step 2
Meanwhile, in a medium bowl, stir together the salmon, ginger and lemon zest. Season with salt.
Step 3
Gently fold the asparagus into the rice. If you notice the rice is dry or sticking to the pot, add 2 to 4 tablespoons of water. Add the salmon mixture on top of the rice, cover, and cook on low until the salmon is just cooked through and the asparagus is crisp-tender, 10 to 12 minutes. Turn off heat, and let rest, covered, 10 minutes. Serve with a squeeze of lemon and more soy sauce, plus herbs, scallions, nori and/or sesame seeds as desired.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024085-one-pot-ginger-salmon-and-rice"
"Stuffed Peppers","American,Casseroles,Bell Pepper,Fennel,Garlic,Ground Beef,Onion,Oregano,Parmesan,Red Pepper Flake,Rice,Tomato,Dinner,Weekday,Main Course","Yield: 6 to 8 servings","4
large red, orange or yellow bell peppers
2
tablespoons olive oil
1
cup finely chopped fennel bulb (about ½ a small bulb) or celery
1
cup finely chopped yellow onion (about 1 small)
3
garlic cloves, minced
1
teaspoon dried oregano
½
teaspoon red-pepper flakes
1
pound ground beef (at least 15 percent fat), turkey, chicken or pork
¾
cup dry white wine, chicken broth or vegetable broth
1
(14-ounce) can diced fire-roasted tomatoes
1½
teaspoons kosher salt, plus more to taste
½
teaspoon black pepper, plus more to taste
1
cup cooked white or brown rice
¼
cup grated Parmesan
2
tablespoons minced fresh parsley, plus more for serving (optional)
1
cup shredded mozzarella, provolone or other semifirm cheese","4020 user ratings","1¼ hours","Step 1
Heat the oven to 400 degrees. Cut the peppers in half lengthwise and carefully remove core, seeds and ribs using a paring knife. Arrange the peppers, cut-sides up, in a 9-by-13-inch pan or other baking dish in which they fit snugly.
Step 2
In a large (12-inch) skillet, heat the olive oil over medium. Add the fennel and onions and cook, stirring occasionally, until tender, 6 to 8 minutes. Stir in the garlic, oregano and red-pepper flakes, and cook until the garlic is fragrant, about 1 minute. Add the beef and cook, breaking up the meat with a wooden spoon, for 3 to 5 minutes, until no longer pink.
Step 3
Add ½ cup wine, increase the heat to medium-high and cook, scraping the bottom of the pan, until the liquid in the pan is reduced by about half.
Step 4
Add the tomatoes and their juices, salt and pepper, and bring to a boil. Remove from the heat and stir in the rice, Parmesan and parsley, if using. Taste and adjust seasonings.
Step 5
Divide the mixture among the peppers. Pour the remaining ¼ cup wine into the bottom of the dish, wrap tightly with foil and bake for 35 to 40 minutes, until a paring knife easily pierces the peppers. Remove the foil and spoon any juices that have accumulated in the bottom of the pan onto the peppers. Sprinkle the mozzarella evenly onto the peppers and bake another 10 to 15 minutes, until the mozzarella is melted and beginning to brown.
Step 6
Allow the peppers to cool for 5 minutes, sprinkle with parsley, if using, and serve hot.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021007-stuffed-peppers"
