"title","tag","serving","ingredients","rating","time","instructions","link"
"Stuffed Peppers","American,Casseroles,Bell Pepper,Fennel,Garlic,Ground Beef,Onion,Oregano,Parmesan,Red Pepper Flake,Rice,Tomato,Dinner,Weekday,Main Course","Yield: 6 to 8 servings","4
large red, orange or yellow bell peppers
2
tablespoons olive oil
1
cup finely chopped fennel bulb (about ½ a small bulb) or celery
1
cup finely chopped yellow onion (about 1 small)
3
garlic cloves, minced
1
teaspoon dried oregano
½
teaspoon red-pepper flakes
1
pound ground beef (at least 15 percent fat), turkey, chicken or pork
¾
cup dry white wine, chicken broth or vegetable broth
1
(14-ounce) can diced fire-roasted tomatoes
1½
teaspoons kosher salt, plus more to taste
½
teaspoon black pepper, plus more to taste
1
cup cooked white or brown rice
¼
cup grated Parmesan
2
tablespoons minced fresh parsley, plus more for serving (optional)
1
cup shredded mozzarella, provolone or other semifirm cheese","4034 user ratings","1¼ hours","Step 1
Heat the oven to 400 degrees. Cut the peppers in half lengthwise and carefully remove core, seeds and ribs using a paring knife. Arrange the peppers, cut-sides up, in a 9-by-13-inch pan or other baking dish in which they fit snugly.
Step 2
In a large (12-inch) skillet, heat the olive oil over medium. Add the fennel and onions and cook, stirring occasionally, until tender, 6 to 8 minutes. Stir in the garlic, oregano and red-pepper flakes, and cook until the garlic is fragrant, about 1 minute. Add the beef and cook, breaking up the meat with a wooden spoon, for 3 to 5 minutes, until no longer pink.
Step 3
Add ½ cup wine, increase the heat to medium-high and cook, scraping the bottom of the pan, until the liquid in the pan is reduced by about half.
Step 4
Add the tomatoes and their juices, salt and pepper, and bring to a boil. Remove from the heat and stir in the rice, Parmesan and parsley, if using. Taste and adjust seasonings.
Step 5
Divide the mixture among the peppers. Pour the remaining ¼ cup wine into the bottom of the dish, wrap tightly with foil and bake for 35 to 40 minutes, until a paring knife easily pierces the peppers. Remove the foil and spoon any juices that have accumulated in the bottom of the pan onto the peppers. Sprinkle the mozzarella evenly onto the peppers and bake another 10 to 15 minutes, until the mozzarella is melted and beginning to brown.
Step 6
Allow the peppers to cool for 5 minutes, sprinkle with parsley, if using, and serve hot.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1021007-stuffed-peppers"
"Artichoke Carbonara","Italian,Pastas,Guanciale,Pecorino Romano,Dinner,Quick,Weekday,Main Course","Yield: 4 servings","
Kosher salt and freshly ground black pepper
1
pound spaghetti
4
ounces guanciale or pancetta
2
tablespoons extra-virgin olive oil, plus more for garnish
12
ounces frozen or canned artichoke quarters, defrosted or drained
6
large egg yolks, plus 4 yolks for an optional garnish
¼
cup freshly grated Pecorino Romano, plus more for garnish","1505 user ratings","30 minutes","Step 1
Bring a large pot of salted water to boil. Cook the pasta according to package instructions until al dente.
Step 2
While the pasta cooks, make the sauce: Cut the guanciale into ¼-inch-thick slabs and then 1-inch-long strips. Add 2 tablespoons of olive oil to a large, deep skillet and heat over medium. Add the guanciale, reduce the heat to low and allow the guanciale to render until crisp, stirring occasionally, about 5 minutes. Remove the guanciale from the skillet and reserve. Remove 1 tablespoon of the guanciale drippings to a small bowl and set aside.
Step 3
Add the artichokes to the skillet and cook until warmed, stirring carefully so they do not break apart. Stir in the cooked guanciale.
Step 4
Add the egg yolks, the cheese, 1 teaspoon salt and a few grinds of pepper to the small bowl with the reserved guanciale drippings and stir until combined.
Step 5
Reserve 1 cup of pasta water, then, using tongs, transfer the cooked pasta to the skillet, mixing to incorporate with the artichokes and guanciale.
Step 6
While whisking, slowly drizzle ¼ cup of the reserved pasta water into the egg mixture until combined.
Step 7
Remove the pasta from the heat and add the egg mixture, tossing vigorously to coat. Add more reserved pasta water incrementally until the sauce is smooth and creamy.
Step 8
Divide the pasta among bowls and top with more grated cheese. If desired, place a raw egg yolk on top of each pasta nest. Top with a sprinkle of salt and pepper, and a drizzle of olive oil to finish.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023167-artichoke-carbonara"
"Sichuan Chicken With Chiles","Asian,Main Course","Yield: 4 servings","4
chicken leg quarters (legs and thighs)

Salt
20 to 40
whole dried red chiles
1
red bell pepper, seeded and finely chopped
1
tablespoon chopped garlic
2
tablespoons dry sherry
½
cup chicken stock
2
tablespoons soy sauce","411 user ratings","40 minutes","Step 1
Skin chicken, and cut skin into ½-inch pieces; set aside. Bone chicken, and cut meat into ½-inch pieces; set aside separately.
Step 2
Turn heat under a wok or 10-inch skillet to medium-high and add chicken skin. Cook, stirring occasionally and adjusting heat so skin browns but does not burn, about 10 minutes. Sprinkle with salt, and remove to a bowl, using a slotted spoon.
Step 3
Add chiles and cook, stirring occasionally, until they puff and darken, 3 or 4 minutes. Remove with a slotted spoon to a separate bowl. Add bell pepper and a pinch of salt and cook, stirring occasionally, until it browns, about 5 minutes. Remove and combine with chiles. Add as much chicken meat as will fit in one layer, and cook until browned on one side; season with salt. Stir and cook until browned; remove and repeat with remaining chicken.
Step 4
Add garlic, followed by chicken, peppers and skin. Stir to combine, then add sherry, stock and soy sauce. Cook until mixture is saucy, about 3 minutes, then serve with white rice. Chiles should not be eaten.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1018024-sichuan-chicken-with-chiles"
"Roasted Vegetable Burritos","Burrito,Mushroom,Poblano,Sweet Potato,Main Course","Yield: 4 servings","12
ounces white, cremini or stuffing mushrooms, cut into ½-inch pieces
3
large poblano chiles (12 ounces), seeded and cut into 1-inch pieces
1
medium sweet potato (8 ounces), peeled and cut into ½-inch cubes
2
garlic cloves, minced
1
teaspoon dried oregano
1
teaspoon smoked paprika
¼
cup extra-virgin olive oil

Kosher salt and black pepper
1
cup shredded Monterey Jack (4 ounces)
1
Haas avocado, mashed with a fork
4
(9- to 10-inch) flour tortillas
½
cup sour cream
1
packed cup shredded butter or bibb lettuce
½
cup pico de gallo or salsa, store-bought or homemade","1153 user ratings","30 minutes","Step 1
Heat oven to 450 degrees. On a rimmed baking sheet, combine mushrooms, poblano chiles, sweet potato, garlic, oregano, smoked paprika and oil, and season with salt and pepper; toss to evenly coat. Roast, stirring halfway through, until vegetables are golden and tender, about 15 minutes. Push the vegetables into a 12-by-6-inch rectangle and sprinkle with the cheese; roast just until cheese melts, about 2 minutes longer.
Step 2
Spread one-quarter of the mashed avocado in the center of each tortilla. Top each with 2 tablespoons of the sour cream, ¼ cup lettuce and 2 tablespoons pico de gallo, then evenly divide the cheesy roasted vegetables on top. Fold the short sides of the tortilla in over the filling; fold the bottom of the tortilla up and over the filling and tightly roll. Serve warm.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1022905-roasted-vegetable-burritos"
"Honey Baked Chicken Drumsticks","Poultry,Carrot,Chicken Drumstick,Ginger,Honey,Dinner,Main Course","Yield: 4 servings","2
tablespoons olive oil
2
tablespoons apple cider vinegar
1
tablespoon soy sauce
2
teaspoons ground ginger
1½
teaspoons onion powder
6
tablespoons honey, preferably clover

Coarse kosher salt and black pepper
8
skin-on chicken drumsticks (about 2½ pounds)
1
pound root vegetables (any mix of carrots, parsnips and potatoes), cut into 1½-inch pieces
4
tablespoons unsalted butter, cut into pieces
2
large scallions, thinly sliced crosswise","5 user ratings","1 hour","Step 1
In a large bowl, stir together the olive oil, vinegar, soy sauce, ground ginger, onion powder, 4 tablespoons honey, 2 teaspoons salt and 1 teaspoon pepper. Add the chicken and turn to coat. If you have the time, cover and refrigerate for 1 to 24 hours.
Step 2
Heat the oven to 425 degrees.
Step 3
Pour the chicken and all of its marinade into a 13-by-9-inch baking pan (preferably metal). Add the root vegetables and toss to coat in the marinade, then spread the chicken and vegetables in a snug but single layer. Roast for 30 minutes.
Step 4
Remove the pan from the oven and turn up the heat to 450 degrees. Turn the chicken and vegetables in the pan juices, then drizzle all over with the remaining 2 tablespoons honey and top with the butter. Continue roasting until the pan sauce is sticky and the chicken and vegetables are browned, 10 to 15 minutes.
Step 5
To serve, tilt the pan to collect the sauce in one corner, then spoon it over the chicken and vegetables to make them glossy. Scatter over the scallions and serve directly from the pan.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024081-honey-baked-chicken-drumsticks"
"Squash and Spinach Salad With Sesame Vinaigrette","Salad,Sesame Oil,Sesame Seed,Spinach,Squash,Tahini,Dinner,Lunch,Weeknight,Appetizer,Main Course,Side Dish,Vegan","Yield: 4 servings","2
pounds kabocha squash, halved, seeded and cut into 1-inch-thick wedges then 2-inch-long pieces
6
tablespoons extra-virgin olive oil

Kosher salt (such as Diamond Crystal) and pepper
2
tablespoons white sesame seeds
2
tablespoons tahini
2
tablespoons lemon juice
1
teaspoon toasted sesame oil
½
teaspoon low-sodium soy sauce
½
teaspoon minced garlic
5
ounces baby spinach
¼
cup chopped scallions","82 user ratings","30 minutes","Step 1
Heat oven to 450 degrees. On a large sheet pan, combine squash and 2 tablespoons of the oil; season with salt and pepper. Toss to evenly coat, then arrange squash in a single layer, cut-sides down. Roast until golden and tender, flipping squash halfway through, 25 minutes.
Step 2
Meanwhile, in a small nonstick skillet, toast sesame seeds over medium-low, stirring frequently, until deep golden, about 5 minutes. Transfer half the toasted seeds to a medium bowl, then transfer the remainder to a small bowl to reserve for garnish.
Step 3
To the medium bowl, add tahini, lemon juice, sesame oil, soy sauce, garlic and 1 tablespoon of water. While whisking constantly, slowly drizzle in the remaining ¼ cup oil until smooth; season with salt and pepper.
Step 4
In a large bowl, toss spinach with 3 tablespoons of the dressing; divide among plates. Divide roasted squash on top and drizzle with some of the remaining dressing. Top each salad with some of the scallions and reserved sesame seeds.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1023809-squash-and-spinach-salad-with-sesame-vinaigrette"
"Pineapple Ham","Meat,Dark Brown Sugar,Ham,Pineapple,Pineapple Juice,Dinner,Main Course,Easter","Yield: 12 servings","1
bone-in, fully cooked unsliced half ham (7½ to 10 pounds)
2
cups canned pineapple juice
1
pineapple (see Tip)
6
packed tablespoons dark brown sugar
6
tablespoons lemon juice (from 2 lemons)
1½
tablespoons Dijon mustard

Freshly ground black pepper or ground cloves","42 user ratings","3½ hours","Step 1
Position a rack near the bottom of the oven and heat the oven to 325 degrees. Using a sharp paring knife, make parallel cuts across the surface of the ham, about a ½-inch deep and 1 inch apart, then repeat in the opposite direction to create a diamond pattern.
Step 2
Place the ham in a large roasting pan, cut side down, and pour over the pineapple juice. Cover the ham with parchment, then cover the pan tightly with foil. Bake until the ham is heated through, 2 to 2½ hours. The internal temperature should reach 135 degrees, which takes about 15 minutes per pound.
Step 3
While the ham cooks, trim the top and bottom off the pineapple, then cut off the peel. Halve the pineapple from top to bottom, then slice into ½-inch-thick half moons. Using a small circular cookie cutter or small knife, cut out and discard the core.
Step 4
Carefully remove the ham from the oven and raise the temperature to 425 degrees.
Step 5
Uncover the ham and ladle out 2 cups of the liquid into a large skillet. Add the brown sugar, lemon juice, mustard and a few generous grinds of black pepper or a pinch of cloves to the skillet and bring to a boil over high heat to make the glaze. Cook, whisking occasionally, until the glaze is thick enough to coat the back of a spoon, 15 to 20 minutes.
Step 6
Scatter the pineapple around the pan. Using a spoon or a brush, apply half of the glaze all over the surface of the ham and some over the pineapple slices. Bake, uncovered, until the glaze is bronzed, 8 to 12 minutes. Transfer the ham to a cutting board to rest for at least 15 minutes before slicing and serving with the pineapple and extra glaze.
In some markets, you can buy fresh pineapple already peeled, cored and sliced in the refrigerated produce section. You can use that as a shortcut here or prepare a pineapple as detailed in step 3.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024064-pineapple-ham"
"Pineapple Ham Pizza","Pizza And Calzones,Ham,Pineapple,Pizza Dough,Tomato Sauce,Dinner,Lunch,Quick,Main Course","Yield: One (12-inch) pizza","
Olive oil
1
(8- to 10-ounce) ball store-bought pizza dough, room temperature
½
cup Marcella Hazan’s tomato sauce or other pizza sauce
1
cup shredded low-moisture mozzarella cheese
½
cup cubed ham (about ½ inch)
½
cup fresh pineapple chunks (about ½ inch)

Red-pepper flakes, for sprinkling","73 user ratings","35 minutes","Step 1
Position a rack in the oven nearest to the heat source, on the highest or lowest spot depending on your model. Heat the oven to 450 degrees. Grease the center of a large sheet pan with 1 tablespoon olive oil.
Step 2
Flatten the dough in between your hands, then rotate the round in your hands like a wheel and pull it outwards to stretch into a 12-inch circle. Place the dough on the sheet pan. Evenly spread the tomato sauce over the dough, leaving a ¼-inch border. Sprinkle with mozzarella, then top with ham and pineapple. Lightly drizzle with olive oil.
Step 3
Bake until the crust is browned and the toppings are slightly caramelized, about 12 minutes. Sprinkle with red-pepper flakes. Cool at least 10 minutes before cutting.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024065-pineapple-ham-pizza"
"Blackened Cauliflower","Vegetables,Cauliflower,Smoked Paprika,Dinner,Easy,Side Dish,Vegan","Yield: 4 servings","1
cauliflower head (about 2 pounds), core and leaves removed, head cut into 2-inch pieces
2
tablespoons olive oil
1
teaspoon smoked paprika
1
teaspoon kosher salt
1
teaspoon onion powder
1
teaspoon garlic powder
½
teaspoon red-pepper flakes
½
teaspoon dried thyme
½
teaspoon black pepper
½
teaspoon sumac (optional)","24 user ratings","55 minutes","Step 1
Heat oven to 450 degrees. Place a rack in the center of the oven.
Step 2
Add cauliflower pieces to a large bowl with oil and all seasonings; mix together. Add the cauliflower florets to a 13-by-18-inch rimmed sheet pan in a single layer, spacing them out as much as possible.
Step 3
Bake on the center rack until deep golden brown and cooked through, 35 to 40 minutes, stirring halfway through, and serve.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024084-blackened-cauliflower"
"Siu Yuk (Crispy Pork Belly)","Chinese,Meat,Five Spice Powder,Fresh Ginger,Make Ahead,Pork Belly,Project,Dinner,Main Course","Yield: 4 servings","1
(2-pound) slab skin-on pork belly
1
tablespoon Shaoxing wine
2
scallions, tied into a knot
1
(2-inch) piece fresh ginger, unpeeled and sliced
1
dried star anise (optional)
1
teaspoon whole black peppercorns (optional)
½
tablespoon plus 2 teaspoons fine sea salt
½
teaspoon five-spice powder
¼
teaspoon ground white pepper
¼
teaspoon ground ginger (optional)
½
teaspoon white vinegar

English mustard, to taste","9 user ratings","2 hours, plus 24 hours’ resting and drying","Step 1
In a large pot, combine the pork belly with enough water to cover it by 1 inch. Add the Shaoxing wine, scallions, ginger, star anise (if using) and whole black peppercorns (if using); bring the water to a rolling boil over high heat. Cover with a lid, reduce the heat to low and simmer until the meat is soft and tender, about 1 hour. Poke the meat (not the skin) with a chopstick; the juices should run clear. Take it out of the pot and let it cool down.
Step 2
In a small bowl, combine ½ tablespoon of the fine sea salt with the five-spice powder, white pepper and ground ginger (if using). When the pork belly is cool enough to handle, flip the pork belly over so that the skin faces down. Rub the seasoning all over the flesh side, leaving the skin unseasoned.
Step 3
Make a tray out of aluminum foil, just large enough to hold the pork belly, and place the pork belly inside, skin side up, making sure all four sides of the meat are completely covered with the foil. Only the skin of the pork belly should be exposed. WIth a meat tenderizer tool or a sharp fork, poke multiple shallow holes all over the skin of the pork, making sure not to puncture too deeply into the meat below. Brush the skin with the white vinegar. Sprinkle the remaining 2 teaspoons of the salt on top.
Step 4
Let the pork rest in the refrigerator, uncovered, for at least 18 hours and up to 24 hours. This will dry out the skin even further.
Step 5
Take the pork belly out and let it come to room temperature, about 1 hour. The skin needs to be completely dry and leathery. If it’s not, blot it gently with a paper towel and blow it dry with a hair dryer.
Step 6
Heat the broiler to its highest setting. If you don’t have a broiler, heat the oven to 450 degrees, preferably with the oven fan on.
Step 7
Place the pork belly still nestled in its aluminum foil tray (this ensures that the meat doesn’t overcook) on a wire rack set on top of a baking sheet to catch any drippings. If you’re using a broiler, cook the pork belly on the middle rack. If you’re not using a broiler, cook the belly on the second-to-top rack. Roast until the skin begins to crisp up and bubble, 15 to 30 minutes if using a broiler and 40 to 50 minutes if just using the oven. Keep an eye on the skin to make sure it does not burn. If parts of the skin begin to get too dark, rotate the pork in the oven so that it cooks more evenly.
Step 8
Take the pork belly out of the oven and remove it from its aluminum foil tray. Let it cool down completely before cutting into it, about 1 hour. Flip the pork belly over, skin side down, and slice into 1-inch pieces. Serve immediately, with English mustard as a dipping sauce.
Leave a Private Note on this recipe and see it here.","https://cooking.nytimes.com/recipes/1024041-siu-yuk-crispy-pork-belly"
